Date,Close
2024-08-14,94.41651916503906
2024-08-15,95.555908203125
2024-08-16,96.31548309326172
2024-08-19,96.60983276367188
2024-08-20,95.68882751464844
2024-08-21,95.60337829589844
2024-08-22,95.47994995117188
2024-08-23,96.74276733398438
2024-08-26,97.1605224609375
2024-08-27,96.92315673828125
2024-08-28,97.03709411621094
2024-08-29,97.41688537597656
2024-08-30,98.37586212158203
2024-09-03,94.2551040649414
2024-09-04,95.09065246582031
2024-09-05,94.53045654296875
2024-09-06,91.71050262451172
2024-09-09,93.22017669677734
2024-09-10,91.7389907836914
2024-09-11,92.1282730102539
2024-09-12,91.75797271728516
2024-09-13,93.28663635253906
2024-09-16,95.03369903564453
2024-09-17,94.79631805419922
2024-09-18,94.2835922241211
2024-09-19,95.641357421875
2024-09-20,97.29346466064453
2024-09-23,97.29346466064453
2024-09-24,97.39791107177734
2024-09-25,97.17002868652344
2024-09-26,99.31586456298828
2024-09-27,98.85060119628906
2024-09-30,98.97404479980469
2024-10-01,99.14495086669922
2024-10-02,99.2398910522461
2024-10-03,99.28736877441406
2024-10-04,102.4301528930664
2024-10-07,102.20227813720703
2024-10-08,102.05986022949219
2024-10-09,103.53155517578125
2024-10-10,102.62004852294922
2024-10-11,104.87982177734375
2024-10-14,106.60787963867188
2024-10-15,106.55091094970703
2024-10-16,113.4726333618164
2024-10-17,113.40617370605469
2024-10-18,114.9443359375
2024-10-21,112.30477142333984
2024-10-22,112.34275817871094
2024-10-23,112.30477142333984
2024-10-24,113.14981079101562
2024-10-25,110.97549438476562
2024-10-28,113.11183166503906
2024-10-29,113.27324676513672
2024-10-30,111.96295166015625
2024-10-31,111.25
2024-11-01,111.8241958618164
2024-11-04,111.14472961425781
2024-11-05,112.74290466308594
2024-11-06,125.83452606201172
2024-11-07,122.91571044921875
2024-11-08,123.95882415771484
2024-11-11,127.77721405029297
2024-11-12,126.6192626953125
2024-11-13,127.04989624023438
2024-11-14,126.73407745361328
2024-11-15,128.29397583007812
2024-11-18,128.02603149414062
2024-11-19,126.55226135253906
2024-11-20,126.02592468261719
2024-11-21,129.18399047851562
2024-11-22,128.89691162109375
2024-11-25,127.91119384765625
2024-11-26,125.63353729248047
2024-11-27,125.56656646728516
2024-11-29,125.94937133789062
2024-12-02,125.39430236816406
2024-12-03,124.82968139648438
2024-12-04,124.3990478515625
2024-12-05,124.71485137939453
2024-12-06,124.37033081054688
2024-12-09,123.04969024658203
2024-12-10,121.336669921875
2024-12-11,122.10226440429688
2024-12-12,122.40849304199219
2024-12-13,121.92044067382812
2024-12-16,123.48033142089844
2024-12-17,122.24581146240234
2024-12-18,115.83397674560547
2024-12-19,115.31720733642578
2024-12-20,118.13076782226562
2024-12-23,119.0973129272461
2024-12-24,121.59504699707031
2024-12-26,122.5233383178711
2024-12-27,121.30795288085938
2024-12-30,120.34140014648438
2024-12-31,120.31269836425781
2025-01-02,119.41311645507812
2025-01-03,120.52324676513672
2025-01-06,123.10709381103516
2025-01-07,121.42279815673828
2025-01-08,122.36065673828125
2025-01-10,118.14032745361328
2025-01-13,118.65709686279297
2025-01-14,119.26002502441406
2025-01-15,124.93494415283203
2025-01-16,129.9687042236328
2025-01-17,131.94012451171875
2025-01-21,131.39463806152344
2025-01-22,130.15054321289062
2025-01-23,131.87313842773438
2025-01-24,131.8922882080078
2025-01-27,130.7725830078125
2025-01-28,132.581298828125
2025-01-29,132.74398803710938
2025-01-30,133.9210968017578
2025-01-31,133.35751342773438
2025-02-03,132.13406372070312
2025-02-04,131.7583465576172
2025-02-05,133.8391876220703
2025-02-06,135.91043090820312
2025-02-07,134.85073852539062
2025-02-10,132.27854919433594
2025-02-11,132.740966796875
2025-02-12,132.08587646484375
2025-02-13,131.82579040527344
2025-02-14,133.85845947265625
2025-02-18,135.55398559570312
2025-02-19,135.5347137451172
2025-02-20,129.41737365722656
2025-02-21,126.86449432373047
2025-02-24,125.20751190185547
2025-02-25,124.85107421875
2025-02-26,126.24794006347656
2025-02-27,124.5042724609375
2025-02-28,128.2324676513672
2025-03-03,124.39830017089844
2025-03-04,117.25983428955078
2025-03-05,119.2154312133789
2025-03-06,114.99592590332031
2025-03-07,114.91887664794922
2025-03-10,107.59734344482422
2025-03-11,107.93452453613281
2025-03-12,109.82270050048828
2025-03-13,107.58771514892578
2025-03-14,111.11360168457031
2025-03-17,113.6375961303711
2025-03-18,113.7821044921875
2025-03-19,115.45834350585938
2025-03-20,116.05562591552734
2025-03-21,115.73770904541016
2025-03-24,119.71637725830078
2025-03-25,120.6123046875
2025-03-26,117.72222900390625
2025-03-27,114.63948059082031
2025-03-28,111.1039810180664
2025-03-31,112.3948745727539
2025-04-01,111.49894714355469
2025-04-02,114.89960479736328
2025-04-03,103.97512817382812
2025-04-04,96.17194366455078
2025-04-07,97.22200012207031
2025-04-08,96.63435363769531
2025-04-09,107.60697174072266
2025-04-10,102.67460632324219
2025-04-11,104.15816497802734
2025-04-14,105.11189270019531
2025-04-15,106.3931655883789
2025-04-16,103.90769958496094
2025-04-17,105.17931365966797
2025-04-21,102.40485382080078
2025-04-22,106.3353500366211
2025-04-23,108.19463348388672
2025-04-24,111.36408233642578
2025-04-25,111.7590560913086
2025-04-28,111.58565521240234
2025-04-29,111.95172882080078
2025-04-30,112.08281707763672
2025-05-01,113.38408660888672
2025-05-02,116.74403381347656
2025-05-05,116.14196014404297
2025-05-06,114.90868377685547
2025-05-07,115.65642547607422
2025-05-08,118.35603332519531
2025-05-09,118.18124389648438
2025-05-12,123.38626861572266
2025-05-13,125.61006164550781
2025-05-14,127.25119018554688
2025-05-15,128.67868041992188
2025-05-16,128.35821533203125
2025-05-19,127.05697631835938
2025-05-20,125.39642333984375
2025-05-21,121.67716217041016
2025-05-22,122.60940551757812
2025-05-23,122.42489624023438
2025-05-27,125.47410583496094
2025-05-28,123.82325744628906
2025-05-29,124.45446014404297
2025-05-30,124.3282241821289
2025-06-02,124.68750762939453
2025-06-03,124.95942687988281
2025-06-04,124.45446014404297
2025-06-05,126.84332275390625
2025-06-06,128.00863647460938
2025-06-09,128.13487243652344
2025-06-10,128.00863647460938
2025-06-11,127.99893188476562
2025-06-12,128.10574340820312
2025-06-13,125.74601745605469
2025-06-16,127.11522674560547
2025-06-17,126.32865142822266
2025-06-18,128.68841552734375
2025-06-20,128.87290954589844
2025-06-23,130.1256103515625
2025-06-24,131.97067260742188
2025-06-25,133.73805236816406
2025-06-26,135.70936584472656
2025-06-27,136.6221923828125
2025-06-30,136.7872772216797
2025-07-01,136.9912109375
2025-07-02,138.72943115234375
2025-07-03,139.97242736816406
2025-07-07,139.583984375
2025-07-08,137.04945373535156
2025-07-09,137.45733642578125
2025-07-10,138.9527587890625
2025-07-11,138.1662139892578
2025-07-14,139.80735778808594
2025-07-15,137.49615478515625
2025-07-16,135.74819946289062
2025-07-17,136.82611083984375
2025-07-18,136.75811767578125
2025-07-21,136.40853881835938
2025-07-22,135.990966796875
2025-07-23,138.09823608398438
2025-07-24,138.3798370361328
2025-07-25,138.87510681152344
2025-07-28,138.4381103515625
2025-07-29,139.40921020507812
2025-07-30,140.74929809570312
2025-07-31,139.3021240234375
2025-08-01,136.00682067871094
2025-08-04,138.2264862060547
2025-08-05,137.34645080566406
2025-08-06,138.16781616210938
2025-08-07,137.79623413085938
2025-08-08,140.00613403320312
2025-08-11,140.69064331054688
2025-08-12,144.0250244140625
2025-08-13,144.484619140625
2025-08-14,145.21800231933594
2025-08-15,141.42401123046875
2025-08-18,141.5706787109375
2025-08-19,140.87643432617188
2025-08-20,140.92530822753906
2025-08-21,140.84706115722656
2025-08-22,144.73886108398438
2025-08-25,144.37705993652344
2025-08-26,145.66778564453125
2025-08-27,146.06871032714844
2025-08-28,146.85096740722656
2025-08-29,147.14431762695312
2025-09-02,145.55047607421875
2025-09-03,145.23756408691406
2025-09-04,147.19320678710938
2025-09-05,144.8072967529297
2025-09-08,145.4917755126953
2025-09-09,148.8457489013672
2025-09-10,150.70364379882812
2025-09-11,153.01132202148438
2025-09-12,152.92332458496094
2025-09-15,153.1677703857422
2025-09-16,152.35618591308594
2025-09-17,153.92071533203125
2025-09-18,155.71014404296875
2025-09-19,156.3653106689453
2025-09-22,157.14756774902344
2025-09-23,157.1964569091797
2025-09-24,154.38031005859375
2025-09-25,155.4265594482422
2025-09-26,156.5608673095703
2025-09-29,157.58758544921875
2025-09-30,155.4363555908203
2025-10-01,153.41224670410156
2025-10-02,151.85748291015625
2025-10-03,154.09671020507812
2025-10-06,154.58563232421875
2025-10-07,152.51263427734375
2025-10-08,152.19972229003906
2025-10-09,152.8059844970703
2025-10-10,148.49375915527344
2025-10-13,151.6912384033203
2025-10-14,151.89659118652344
2025-10-15,159.0445556640625
2025-10-16,156.47286987304688
2025-10-17,155.15277099609375
2025-10-20,158.379638671875
2025-10-21,155.70034790039062
2025-10-22,154.61497497558594
2025-10-23,155.7786102294922
2025-10-24,160.22772216796875
2025-10-27,162.33985900878906
2025-10-28,161.54782104492188
2025-10-29,160.3939666748047
2025-10-30,161.59669494628906
2025-10-31,161.34091186523438
2025-11-03,160.99659729003906
2025-11-04,161.3507537841797
2025-11-05,162.5017852783203
2025-11-06,160.7703094482422
2025-11-07,159.72750854492188
2025-11-10,162.3739013671875
2025-11-11,163.80038452148438
2025-11-12,167.1649169921875
2025-11-13,162.92481994628906
2025-11-14,161.20318603515625
2025-11-17,156.86468505859375
2025-11-18,157.238525390625
2025-11-19,159.6586456298828
2025-11-20,156.12684631347656
2025-11-21,155.60543823242188
2025-11-24,160.1898956298828
2025-11-25,162.7477264404297
2025-11-26,165.217041015625
2025-11-28,166.90914916992188
