Date,Close
2024-08-14,478.8154296875
2024-08-15,479.12261962890625
2024-08-16,484.1537170410156
2024-08-19,484.5570068359375
2024-08-20,477.5096130371094
2024-08-21,476.66473388671875
2024-08-22,477.9032897949219
2024-08-23,489.10797119140625
2024-08-26,487.61981201171875
2024-08-27,487.0340881347656
2024-08-28,483.26080322265625
2024-08-29,489.7608337402344
2024-08-30,492.8031921386719
2024-09-03,470.7924499511719
2024-09-04,473.86370849609375
2024-09-05,471.19805908203125
2024-09-06,463.21075439453125
2024-09-09,471.86444091796875
2024-09-10,451.1575927734375
2024-09-11,455.0594787597656
2024-09-12,457.8505859375
2024-09-13,462.612060546875
2024-09-16,468.5710754394531
2024-09-17,468.7931823730469
2024-09-18,468.0108337402344
2024-09-19,486.6026611328125
2024-09-20,481.3873291015625
2024-09-23,480.4021911621094
2024-09-24,480.9913024902344
2024-09-25,474.34661865234375
2024-09-26,479.928955078125
2024-09-27,481.464599609375
2024-09-30,478.1807861328125
2024-10-01,473.4098205566406
2024-10-02,475.16748046875
2024-10-03,469.4789123535156
2024-10-04,478.2291259765625
2024-10-07,477.7076110839844
2024-10-08,479.5909118652344
2024-10-09,487.906494140625
2024-10-10,486.4964294433594
2024-10-11,498.6462707519531
2024-10-14,504.875732421875
2024-10-15,504.5184326171875
2024-10-16,511.7425842285156
2024-10-17,510.9119873046875
2024-10-18,510.42913818359375
2024-10-21,500.094970703125
2024-10-22,500.5779113769531
2024-10-23,499.5155334472656
2024-10-24,506.5658874511719
2024-10-25,495.0727844238281
2024-10-28,505.6773986816406
2024-10-29,506.35345458984375
2024-10-30,506.4693603515625
2024-10-31,500.0853271484375
2024-11-01,501.5920104980469
2024-11-04,493.9814758300781
2024-11-05,508.9419250488281
2024-11-06,575.601806640625
2024-11-07,562.2639770507812
2024-11-08,569.111572265625
2024-11-11,581.744384765625
2024-11-12,572.3276977539062
2024-11-13,573.9019165039062
2024-11-14,568.4838256835938
2024-11-15,573.2452392578125
2024-11-18,567.885009765625
2024-11-19,561.5010375976562
2024-11-20,562.0322265625
2024-11-21,575.727294921875
2024-11-22,582.1693115234375
2024-11-25,582.4108276367188
2024-11-26,584.7962646484375
2024-11-27,584.7286987304688
